respondent_id,consequence
,Response
118752452689,Herausforderungen für die Stabilität der Netze
118745041241,Steigende Strompreise für Verbraucher
118745035969,Herausforderungen für die Stabilität der Netze
118745035159,Herausforderungen für die Stabilität der Netze
118728905344,Keine der genannten Konsequenzen ist problematisch
118728041541,Steigende Strompreise für Verbraucher
118725909916,Keine der genannten Konsequenzen ist problematisch
118725489712,Keine der genannten Konsequenzen ist problematisch
118725204330,Herausforderungen für die Stabilität der Netze
118725167746,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118725152865,Herausforderungen für die Stabilität der Netze
118725110569,Herausforderungen für die Stabilität der Netze
118723447559,Steigende Strompreise für Verbraucher
118723237756,Steigende Strompreise für Verbraucher
118722584838,Herausforderungen für die Stabilität der Netze
118722351539,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118721763559,Herausforderungen für die Stabilität der Netze
118721723631,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118721622091,Steigende Strompreise für Verbraucher
118721620651,Herausforderungen für die Stabilität der Netze
118721595224,Steigende Strompreise für Verbraucher
118721556715,Steigende Strompreise für Verbraucher
118721543449,Steigende Strompreise für Verbraucher
118721499184,Keine der genannten Konsequenzen ist problematisch
118721456430,Steigende Strompreise für Verbraucher
118721400034,Bedrohung der Rentabilität von Stromunternehmen
118721395041,Herausforderungen für die Stabilität der Netze
118721391105,Steigende Strompreise für Verbraucher
118721337485,Steigende Strompreise für Verbraucher
118721331365,Herausforderungen für die Stabilität der Netze
118721328556,Steigende Strompreise für Verbraucher
118721197328,Herausforderungen für die Stabilität der Netze
118721153752,Steigende Strompreise für Verbraucher
118721125261,Herausforderungen für die Stabilität der Netze
118721006467,Keine der genannten Konsequenzen ist problematisch
118720956129,Bedrohung der Rentabilität von Stromunternehmen
118720912499,Herausforderungen für die Stabilität der Netze
118720905950,Herausforderungen für die Stabilität der Netze
118720902903,Herausforderungen für die Stabilität der Netze
118720900408,Herausforderungen für die Stabilität der Netze
118720897761,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118720897461,Herausforderungen für die Stabilität der Netze
118720895378,Keine der genannten Konsequenzen ist problematisch
118720891261,Herausforderungen für die Stabilität der Netze
118720890752,Herausforderungen für die Stabilität der Netze
118720890310,Steigende Strompreise für Verbraucher
118720887674,Herausforderungen für die Stabilität der Netze
118720887094,Steigende Strompreise für Verbraucher
118720882393,Steigende Strompreise für Verbraucher
118720881324,Bedrohung der Rentabilität von Stromunternehmen
118720881244,Bedrohung der Rentabilität von Stromunternehmen
118720880281,Steigende Strompreise für Verbraucher
118720878032,Herausforderungen für die Stabilität der Netze
118720876610,Steigende Strompreise für Verbraucher
118720875003,Herausforderungen für die Stabilität der Netze
118720874823,Herausforderungen für die Stabilität der Netze
118720874594,Keine der genannten Konsequenzen ist problematisch
118720874067,Herausforderungen für die Stabilität der Netze
118720873582,Steigende Strompreise für Verbraucher
118720873581,Steigende Strompreise für Verbraucher
118720873448,Steigende Strompreise für Verbraucher
118720872081,Herausforderungen für die Stabilität der Netze
118720872071,Herausforderungen für die Stabilität der Netze
118720869708,Steigende Strompreise für Verbraucher
118720869178,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118720868828,Keine der genannten Konsequenzen ist problematisch
118720617197,Steigende Strompreise für Verbraucher
118720359488,Herausforderungen für die Stabilität der Netze
118720304414,Steigende Strompreise für Verbraucher
118720210295,Steigende Strompreise für Verbraucher
118720095220,Herausforderungen für die Stabilität der Netze
118719940488,Bedrohung der Rentabilität von Stromunternehmen
118719844221,Steigende Strompreise für Verbraucher
118719800343,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118719787450,Steigende Strompreise für Verbraucher
118719777684,Steigende Strompreise für Verbraucher
118719751123,Herausforderungen für die Stabilität der Netze
118719745254,Steigende Strompreise für Verbraucher
118719744912,Herausforderungen für die Stabilität der Netze
118719740529,Keine der genannten Konsequenzen ist problematisch
118719740378,Herausforderungen für die Stabilität der Netze
118719731879,Herausforderungen für die Stabilität der Netze
118719723990,Keine der genannten Konsequenzen ist problematisch
118719722284,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118719718843,Herausforderungen für die Stabilität der Netze
118719706439,Steigende Strompreise für Verbraucher
118719702607,Steigende Strompreise für Verbraucher
118719701032,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118719698162,Herausforderungen für die Stabilität der Netze
118719690366,Herausforderungen für die Stabilität der Netze
118719658084,Steigende Strompreise für Verbraucher
118719657490,Keine der genannten Konsequenzen ist problematisch
118719648913,Steigende Strompreise für Verbraucher
118719640453,Herausforderungen für die Stabilität der Netze
118719638341,Herausforderungen für die Stabilität der Netze
118719632641,Herausforderungen für die Stabilität der Netze
118719622185,Steigende Strompreise für Verbraucher
118719618428,Herausforderungen für die Stabilität der Netze
118719614056,Steigende Strompreise für Verbraucher
118719609522,Bedrohung der Rentabilität von Stromunternehmen
118719608146,Steigende Strompreise für Verbraucher
118719600879,Steigende Strompreise für Verbraucher
118719590338,Herausforderungen für die Stabilität der Netze
118719585877,Herausforderungen für die Stabilität der Netze
118719585430,Herausforderungen für die Stabilität der Netze
118719583858,Herausforderungen für die Stabilität der Netze
118719565260,Herausforderungen für die Stabilität der Netze
118719560234,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118719559146,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118719554786,Steigende Strompreise für Verbraucher
118719550176,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades
118719549032,Herausforderungen für die Stabilität der Netze
118719545936,Steigende Strompreise für Verbraucher
118719545213,Herausforderungen für die Stabilität der Netze
118719540468,Bedrohung der Rentabilität von Stromunternehmen
118719539315,Steigende Strompreise für Verbraucher
118719538617,Steigende Strompreise für Verbraucher
118719538578,Herausforderungen für die Stabilität der Netze
118719534721,Herausforderungen für die Stabilität der Netze
118719536194,Keine der genannten Konsequenzen ist problematisch
118718418410,Herausforderungen für die Stabilität der Netze
118718417818,Steigende Strompreise für Verbraucher
118717793319,Herausforderungen für die Stabilität der Netze
