event_date;rank_step4;reference_peak_utc;event_start_utc;event_duration_h;pre_peak_offset_h;konvergierter_komp_prozentsatz;rohe_teilnahmequote_vor_cap;finale_teilnahmequote;total_verschobene_energie_mwh;total_srl_wert_chf;auszahlung_pro_kwh_verschoben_chf;kompensation_pro_haushalt_chf;kompensations_basis_energie_kwh;avg_srl_price_in_window_chf_kwh;iterations_to_converge;converged;error_message
2024-12-30;1;2024-12-30 16:45;2024-12-30 14:45;1.5;2.0;149.9908447265625;0.6505376344086021;0.629;72.16139461470613;34980.95537298372;0.48475996839804397;3.47978759765625;8.0;0.666368806633696;14.0;True;
2024-12-30;1;2024-12-30 16:45;2024-12-30 14:45;3.0;2.0;104.88138811055174;0.5725806451612904;0.5725806451612904;289.06830817896275;87927.2343721658;0.3041745908642807;2.4332482041648005;8.0;0.458156904788821;14.0;True;
2024-12-30;1;2024-12-30 16:45;2024-12-30 14:45;4.5;2.0;93.69655094792817;0.5618279569892473;0.5618279569892473;394.68215593250665;107249.58051645245;0.27173658323380817;2.1737599819919335;8.0;0.36243551498198195;14.0;True;
2024-12-30;1;2024-12-30 16:45;2024-12-30 15:45;1.5;1.0;100.79889141400625;0.6505376344086021;0.629;195.5855211527161;57176.420527351605;0.29233462779030256;2.3385342808049447;8.0;0.43840808463567366;14.0;True;
2024-12-30;1;2024-12-30 16:45;2024-12-30 15:45;3.0;1.0;88.91920707438055;0.5618279569892473;0.5618279569892473;347.78124229173017;89686.32768880262;0.2578814403497093;2.0629256041256285;8.0;0.32158374015960706;14.0;True;
2024-12-30;1;2024-12-30 16:45;2024-12-30 15:45;4.5;1.0;85.6646671535035;0.5618279569892473;0.5618279569892473;382.171261169341;94947.65940797566;0.24844269848408126;1.987420277961281;8.0;0.26507744426026725;14.0;True;
2024-12-30;1;2024-12-30 16:45;2024-12-30 16:45;1.5;0.0;84.21590057668624;0.6397849462365591;0.629;238.52994206182;58258.79610192179;0.24424101896114497;1.9538088933791207;8.0;0.2359556208626651;14.0;True;
2024-12-30;1;2024-12-30 16:45;2024-12-30 16:45;3.0;0.0;77.54793857537754;0.5618279569892473;0.5618279569892473;273.8394302555016;61591.00005183657;0.22491647749328886;1.7991121749487589;8.0;0.19536268182616123;13.0;True;
2024-12-30;1;2024-12-30 16:45;2024-12-30 16:45;4.5;0.0;75.85432794860735;0.5618279569892473;0.5618279569892473;293.5101554191502;64573.527708398295;0.22000440705768223;1.7598204084076903;8.0;0.1809109375911319;13.0;True;
2024-01-10;2;2024-01-10 17:00;2024-01-10 15:00;1.5;2.0;149.9908447265625;0.6505376344086021;0.629;98.37450104862549;95023.1208388677;0.9659324299078149;3.47978759765625;8.0;0.7164098526106256;14.0;True;
2024-01-10;2;2024-01-10 17:00;2024-01-10 15:00;3.0;2.0;149.9908447265625;0.5725806451612904;0.5725806451612904;323.4929169306613;156463.8504445895;0.48367009679574086;3.47978759765625;8.0;0.5185527634771122;14.0;True;
2024-01-10;2;2024-01-10 17:00;2024-01-10 15:00;4.5;2.0;;;;;;;;;;;;JASM/SRL data mismatch or empty for window
2024-01-10;2;2024-01-10 17:00;2024-01-10 16:00;1.5;1.0;149.9908447265625;0.6505376344086021;0.629;236.203448776335;141353.98094684596;0.5984416471441805;3.47978759765625;8.0;0.6378889851283048;14.0;True;
2024-01-10;2;2024-01-10 17:00;2024-01-10 16:00;3.0;1.0;;;;;;;;;;;;JASM/SRL data mismatch or empty for window
2024-01-10;2;2024-01-10 17:00;2024-01-10 16:00;4.5;1.0;;;;;;;;;;;;JASM/SRL data mismatch or empty for window
2024-01-10;2;2024-01-10 17:00;2024-01-10 17:00;1.5;0.0;;;;;;;;;;;;JASM/SRL data mismatch or empty for window
2024-01-10;2;2024-01-10 17:00;2024-01-10 17:00;3.0;0.0;;;;;;;;;;;;JASM/SRL data mismatch or empty for window
2024-01-10;2;2024-01-10 17:00;2024-01-10 17:00;4.5;0.0;;;;;;;;;;;;JASM/SRL data mismatch or empty for window
2024-12-04;3;2024-12-04 16:45;2024-12-04 14:45;1.5;2.0;144.02451518354908;0.6505376344086021;0.629;72.16139461470613;30141.56833095297;0.4176965882088187;3.3413687522583384;8.0;0.4337194793026092;14.0;True;
2024-12-04;3;2024-12-04 16:45;2024-12-04 14:45;3.0;2.0;118.95643527223115;0.5725806451612904;0.5725806451612904;289.06830817896275;99727.03977977333;0.3449947190960558;2.7597892983157624;8.0;0.37929676786619065;14.0;True;
2024-12-04;3;2024-12-04 16:45;2024-12-04 14:45;4.5;2.0;111.00292297899603;0.5725806451612904;0.5725806451612904;402.23588140489926;129491.04333869532;0.3219281255725341;2.5752678131127076;8.0;0.3386424942810446;14.0;True;
2024-12-04;3;2024-12-04 16:45;2024-12-04 15:45;1.5;1.0;121.4175306722332;0.6505376344086021;0.629;195.5855211527161;68871.9855518528;0.35213233140134403;2.81688671159581;8.0;0.36990676509697296;14.0;True;
2024-12-04;3;2024-12-04 16:45;2024-12-04 15:45;3.0;1.0;109.91506152135217;0.5725806451612904;0.5725806451612904;354.4373426226725;112985.10279092609;0.3187731347800109;2.55002942729537;8.0;0.323925256616362;14.0;True;
2024-12-04;3;2024-12-04 16:45;2024-12-04 15:45;4.5;1.0;;;;;;;;;;;;JASM/SRL data mismatch or empty for window
2024-12-04;3;2024-12-04 16:45;2024-12-04 16:45;1.5;0.0;106.2292657477773;0.6505376344086021;0.629;238.52994206182;73487.18105343025;0.3080836746037716;2.4645189653484336;8.0;0.3069360035457192;14.0;True;
2024-12-04;3;2024-12-04 16:45;2024-12-04 16:45;3.0;0.0;;;;;;;;;;;;JASM/SRL data mismatch or empty for window
2024-12-04;3;2024-12-04 16:45;2024-12-04 16:45;4.5;0.0;;;;;;;;;;;;JASM/SRL data mismatch or empty for window
